index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
354,623,400,203,0.3579454253611557,0.49250000000000005,0.6741573033707865
355,489,344,142,0.2965235173824131,0.5872093023255813,0.7096114519427403
356,148,134,105,0.09459459459459463,0.21641791044776115,0.29054054054054057
357,489,353,184,0.278118609406953,0.47875354107648727,0.623721881390593
358,489,393,205,0.19631901840490795,0.4783715012722646,0.5807770961145194
359,148,132,103,0.10810810810810811,0.21969696969696972,0.30405405405405406
360,370,320,128,0.1351351351351351,0.6,0.654054054054054
361,267,224,98,0.16104868913857673,0.5625,0.6329588014981273
362,370,318,187,0.14054054054054055,0.4119496855345912,0.49459459459459465
363,370,307,135,0.1702702702702703,0.5602605863192183,0.6351351351351351
364,267,216,116,0.1910112359550562,0.4629629629629629,0.5655430711610487
365,845,595,228,0.29585798816568043,0.6168067226890757,0.7301775147928994
366,742,547,254,0.2628032345013477,0.5356489945155394,0.6576819407008085
367,845,552,208,0.3467455621301775,0.6231884057971014,0.7538461538461538
368,845,517,209,0.38816568047337274,0.5957446808510638,0.7526627218934911
369,742,492,215,0.33692722371967654,0.5630081300813008,0.7102425876010782
370,608,420,135,0.3092105263157895,0.6785714285714286,0.7779605263157895
371,505,402,195,0.20396039603960392,0.5149253731343284,0.6138613861386139
372,608,432,100,0.2894736842105263,0.7685185185185185,0.8355263157894737
373,608,338,168,0.444078947368421,0.5029585798816568,0.7236842105263157
374,505,248,115,0.5089108910891089,0.5362903225806452,0.7722772277227723
375,133,104,82,0.21804511278195493,0.21153846153846156,0.3834586466165414
376,980,560,237,0.4285714285714286,0.5767857142857142,0.7581632653061224
377,133,83,64,0.37593984962406013,0.22891566265060237,0.518796992481203
378,133,107,82,0.19548872180451127,0.23364485981308414,0.3834586466165414
379,980,683,231,0.3030612244897959,0.6617862371888726,0.7642857142857142
380,162,141,103,0.12962962962962965,0.2695035460992907,0.3641975308641975
381,59,58,53,0.016949152542372836,0.08620689655172409,0.10169491525423724
382,162,146,94,0.09876543209876543,0.3561643835616438,0.41975308641975306
383,162,119,92,0.26543209876543206,0.22689075630252098,0.4320987654320988
384,59,56,53,0.05084745762711862,0.0535714285714286,0.10169491525423724
385,637,428,231,0.32810047095761385,0.46028037383177567,0.6373626373626373
386,534,359,195,0.32771535580524347,0.4568245125348189,0.6348314606741573
387,637,443,207,0.304552590266876,0.5327313769751694,0.6750392464678179
388,637,504,203,0.20879120879120883,0.5972222222222222,0.6813186813186813
